family,name,n,tau_real,tau_diff_real,s,phi,nullpos_iid,p_iid,nullpos_diff_iid,p_diff_iid,nullpos_ar1,p_ar1,nullpos_diff_ar1,p_diff_ar1
Historical,Microwaves,37,0.6190476190476191,0.5789473684210527,0.05335647645053774,0.9420472141276288,0.53,0.11,0.515,0.15,0.48,0.13,0.515,0.23
Historical,Vacuums,32,-0.3523809523809524,0.7802197802197802,0.033156865120516174,0.95,0.53,0.705,0.52,0.05,0.505,0.67,0.525,0.055
Historical,Telephone Landlines,70,-0.463768115942029,0.3201581027667984,0.02456955088837567,0.95,0.515,0.77,0.555,0.36,0.475,0.72,0.48,0.265
Historical,Household Air Conditioning Units,49,-0.4861660079051383,-0.45454545454545453,0.03662692966083852,0.95,0.5,0.8,0.515,0.77,0.505,0.8,0.44,0.76
Historical,Household Radios,58,-0.43333333333333324,0.782608695652174,0.031074874165061415,0.95,0.395,0.635,0.435,0.05,0.45,0.745,0.54,0.065
Historical,Air Source Heat Pump Shipments,19,-0.8222222222222221,-0.3333333333333333,0.027092096733209295,0.7890302231728811,0.34146341463414637,0.9390243902439024,0.47096774193548385,0.6064516129032258,0.21323529411764705,0.8897058823529411,0.43089430894308944,0.6260162601626016
Renewables,Solar:Afghanistan,15,-0.2857142857142857,-0.23809523809523814,0.07613103399371784,0.18284812658023064,0.46733668341708545,0.6532663316582915,0.5353535353535354,0.6515151515151515,0.4393939393939394,0.5757575757575758,0.4358974358974359,0.6102564102564103
Renewables,Solar:Australia,17,0.5555555555555556,0.6428571428571428,0.03884743601732096,0.8732559791831606,0.445,0.185,0.575,0.18,0.48,0.195,0.675,0.19
Renewables,Solar:Austria,16,0.4444444444444444,0.42857142857142855,0.07037547953156956,0.41739579276540006,0.53,0.255,0.515,0.33,0.525,0.25,0.58,0.35
Renewables,Solar:Barbados,13,1.0,,0.06609302691708023,0.2670762231956617,0.41353383458646614,0.09774436090225563,0.4418604651162791,,0.4642857142857143,0.08035714285714286,0.5909090909090909,
Renewables,Solar:Belgium,18,0.8181818181818182,0.911111111111111,0.06121459203854369,0.421830793470638,0.4494949494949495,0.045454545454545456,0.49746192893401014,0.030456852791878174,0.49230769230769234,0.03076923076923077,0.4256410256410256,0.020512820512820513
Renewables,Solar:Bulgaria,16,0.19999999999999998,-0.1111111111111111,0.09626923922244261,0.6680951442739568,0.5025125628140703,0.37185929648241206,0.4723618090452261,0.5829145728643216,0.5353535353535354,0.45454545454545453,0.5612244897959183,0.6275510204081632
Renewables,Solar:Burkina Faso,17,-0.7333333333333333,-0.19999999999999998,0.09172786002984665,0.40933041094962463,0.5175879396984925,0.9396984924623115,0.5544041450777202,0.6839378238341969,0.5431472081218274,0.8934010152284264,0.5526315789473685,0.6894736842105263
Renewables,Solar:Cape Verde,16,0.1111111111111111,-0.4000661320993193,0.13307190033116725,0.1926371564311329,0.475,0.445,0.515,0.71,0.585,0.525,0.56,0.755
Renewables,Solar:Chile,14,0.8666666666666666,-0.19999999999999998,0.05090275686511823,0.7984936841310245,0.495,0.09,0.4642857142857143,0.6224489795918368,0.484375,0.125,0.5168539325842697,0.7078651685393258
