idx,tech,country,scale,series_type,n_pts,year_start,excluded,excl_reason,end_frac,start_frac,s_score,r2_logistic,r2_linear,has_inflection,growth_range
207,Nuclear Energy,US,National,saturating,57,1965,False,,1.0,0.0,0.0923,0.9382,0.8459,True,0.632
211,Nuclear Energy,India,National,saturating,57,1965,False,,0.728,0.0,0.1818,0.9521,0.7703,True,0.351
212,Nuclear Energy,Japan,National,saturating,38,1965,False,,1.0,0.0,-0.0165,0.8369,0.8534,True,0.868
213,Hydroelectricity,Brazil,National,pre_saturation,57,1965,False,,1.0,0.0,0.0496,0.9594,0.9097,True,0.825
214,Nuclear Energy,Pakistan,National,pre_saturation,57,1965,False,,1.0,0.0,0.6559,0.9911,0.3352,False,0.14
215,Hydroelectricity,Argentina,National,pre_saturation,57,1965,False,,0.934,0.0,-0.0116,0.8174,0.829,True,0.474
216,Hydroelectricity,US,National,pre_saturation,57,1965,False,,1.0,0.0,-0.0113,0.9495,0.9607,True,0.684
218,Hydroelectricity,Bulgaria,National,pre_saturation,57,1965,True,Truncated-start,0.983,0.804,,,,False,
221,Nuclear Energy,Canada,National,pre_saturation,57,1965,False,,1.0,0.0,0.3395,0.9268,0.5874,True,0.439
222,Hydroelectricity,Ecuador,National,pre_saturation,57,1965,False,,1.0,0.0,-0.0158,0.969,0.9847,True,0.772
223,Hydroelectricity,Peru,National,pre_saturation,57,1965,False,,1.0,0.0,-0.0284,0.9039,0.9322,True,0.772
224,Hydroelectricity,Venezuela,National,pre_saturation,57,1965,False,,1.0,0.0,0.0288,0.9755,0.9467,True,0.561
225,Hydroelectricity,Austria,National,pre_saturation,57,1965,True,Bell/Declining,0.152,0.0,,,,False,
226,Hydroelectricity,Japan,National,pre_saturation,57,1965,True,Truncated-start,1.0,0.576,,,,False,
227,Hydroelectricity,Malaysia,National,pre_saturation,57,1965,False,,0.782,0.0,0.0518,0.9244,0.8726,True,0.772
228,Hydroelectricity,New Zealand,National,pre_saturation,57,1965,False,,1.0,0.0,0.0083,0.8791,0.8708,True,0.842
229,Hydroelectricity,Pakistan,National,pre_saturation,57,1965,False,,1.0,0.0,-0.041,0.7969,0.838,True,0.684
230,Hydroelectricity,Philippines,National,pre_saturation,57,1965,False,,0.79,0.052,0.0273,0.9129,0.8856,True,0.649
231,Hydroelectricity,South Korea,National,pre_saturation,57,1965,False,,0.876,0.0,0.0189,0.7517,0.7328,True,0.86
232,Hydroelectricity,Belgium,National,pre_saturation,57,1965,True,Truncated-start,0.179,0.858,,,,False,
238,Renewable Power,Australia,National,pre_saturation,57,1965,True,Truncated-start,0.124,1.0,,,,False,
243,Renewable Power,Japan,National,pre_saturation,57,1965,False,,0.98,0.0,0.3272,0.9991,0.6718,True,0.088
246,Renewable Power,New Zealand,National,pre_saturation,57,1965,True,Truncated-start,0.543,0.951,,,,False,
254,Renewable Power,Spain,National,pre_saturation,57,1965,False,,1.0,0.0,0.3173,0.994,0.6768,True,0.175
