tech_name,region,country,unit,year_start,year_peak,year_sat,series_type,scale,source
Hydroelectricity,DNK,Denmark,TWh,1965,1981,2021,pre_saturation,national,regional_csv
Renewable Power,FIN,Finland,TWh,1965,2021,2021,pre_saturation,national,regional_csv
Renewable Power,FRA,France,TWh,1965,2020,2021,pre_saturation,national,regional_csv
Renewable Power,DEU,Germany,TWh,1965,2020,2021,pre_saturation,national,regional_csv
Renewable Power,GRC,Greece,TWh,1965,2021,2021,pre_saturation,national,regional_csv
Renewable Power,ECU,Ecuador,TWh,1965,2019,2021,pre_saturation,national,regional_csv
Renewable Power,CHL,Chile,TWh,1965,2021,2021,pre_saturation,national,regional_csv
Renewable Power,BRA,Brazil,TWh,1965,2021,2021,pre_saturation,national,regional_csv
Hydroelectricity,LKA,Sri Lanka,TWh,1965,2021,2021,pre_saturation,national,regional_csv
Hydroelectricity,HRV,Croatia,TWh,1965,2010,2021,pre_saturation,national,regional_csv
Hydroelectricity,TWN,Taiwan,TWh,1965,2016,2021,pre_saturation,national,regional_csv
Hydroelectricity,THA,Thailand,TWh,1965,2012,2021,pre_saturation,national,regional_csv
Hydroelectricity,VNM,Vietnam,TWh,1965,2017,2021,pre_saturation,national,regional_csv
Hydroelectricity,World,World,TWh,1965,2020,2021,pre_saturation,global,regional_csv
Renewable Power,CAN,Canada,TWh,1965,2021,2021,pre_saturation,national,regional_csv
Hydroelectricity,CZE,Czech Republic,TWh,1965,2013,2021,pre_saturation,national,regional_csv
Renewable Power,MEX,Mexico,TWh,1965,2021,2021,pre_saturation,national,regional_csv
Renewable Power,USA,US,TWh,1965,2021,2021,pre_saturation,national,regional_csv
Renewable Power,ARG,Argentina,TWh,1965,2021,2021,pre_saturation,national,regional_csv
Nuclear Energy,World,World,TWh,1965,2006,2010,saturating,global,regional_csv
Hydroelectricity,GRC,Greece,TWh,1965,2010,2021,pre_saturation,national,regional_csv
Hydroelectricity,CAN,Canada,TWh,1965,2017,2021,saturating,national,regional_csv
Hydroelectricity,HUN,Hungary,TWh,1965,2014,2021,pre_saturation,national,regional_csv
Hydroelectricity,EST,Estonia,TWh,1965,2012,2021,pre_saturation,national,regional_csv
Hydroelectricity,FIN,Finland,TWh,1965,2008,2021,pre_saturation,national,regional_csv
Hydroelectricity,FRA,France,TWh,1965,1994,2021,pre_saturation,national,regional_csv
Hydroelectricity,DEU,Germany,TWh,1965,2000,2021,pre_saturation,national,regional_csv
