tech_name,region,country,unit,year_start,year_peak,year_sat,series_type,scale,source
Railroad,PRY,Paraguay,kilometers,1845,1937,1953,saturating,national,regional_csv
Postal Traffic,BRA,Brazil,Number (millions),1840,1960,1998,pre_saturation,national,regional_csv
Railroad,COL,Colombia,kilometers,1845,1961,1981,saturating,national,regional_csv
Postal Traffic,GBR,United Kingdom,Number (millions),1839,1993,1993,pre_saturation,national,regional_csv
Telegraph Traffic,ESP,Spain,Number (millions),1830,1965,1993,pre_saturation,national,regional_csv
Cane Sugar,ZAF,South Africa,thousand metric tons,1859,1998,2010,pre_saturation,national,regional_csv
Zinc,USA,United States of America,thousand metric tons,1860,1969,2008,pre_saturation,national,regional_csv
Crude Oil,USA,USA,thousand metric tons,1860,1973,2008,pre_saturation,national,regional_csv
Railroad,GUY,Guyana,kilometers,1845,1914,1928,saturating,national,regional_csv
Gold,NZL,New Zealand,metric tons,1857,1866,1866,declining_structural,national,regional_csv
Steamships,DNK,Denmark,-,1844,1914,1926,saturating,national,regional_csv
Railroad,JPN,Japan,kilometers,1853,1987,1990,saturating,national,regional_csv
Postal Traffic,CHE,Switzerland,Number (millions),1850,1990,1993,saturating,national,regional_csv
Telegraph Traffic,CHE,Switzerland,Number (millions),1830,1919,1919,declining_structural,national,regional_csv
Postal Traffic,SWE,Sweden,Number (millions),1850,1991,1993,saturating,national,regional_csv
Postal Traffic,AUS,Australia,Number (millions),1851,1993,1993,pre_saturation,national,regional_csv
Crude Oil,CAN,Canada,thousand metric tons,1867,2007,2008,pre_saturation,national,regional_csv
Postal Traffic,IND,India,Number (millions),1853,2000,2000,pre_saturation,national,regional_csv
Railroad,ARG,Argentina,kilometers,1845,1955,1961,saturating,national,regional_csv
Railroad,TWN,Taiwan,kilometers,1853,1998,1998,pre_saturation,national,regional_csv
Railroad,IND,India,kilometers,1853,1936,1940,saturating,national,regional_csv
Cane Sugar,TTO,Trinidad & Tobago,thousand metric tons,1870,1965,2007,pre_saturation,national,regional_csv
Railroad,GHA,Ghana,kilometers,1862,1969,1998,saturating,national,regional_csv
Telegraph Traffic,SWE,Sweden,Number (millions),1855,1951,1991,pre_saturation,national,regional_csv
Railroad,KEN,Kenya,kilometers,1862,1997,1998,pre_saturation,national,regional_csv
Railroad,MOZ,Mozambique,kilometers,1862,1971,1975,saturating,national,regional_csv
Telegraph Traffic,NOR,Norway,Number (millions),1855,1947,1992,pre_saturation,national,regional_csv
Postal Traffic,HUN,Hungary,Number (millions),1849,1986,1993,pre_saturation,national,regional_csv
Telegraph Traffic,NZL,New Zealand,Number (millions),1850,1960,1966,saturating,national,regional_csv
Postal Traffic,BEL,Belgium,Number (millions),1850,1979,1992,pre_saturation,national,regional_csv
Postal Traffic,ESP,Spain,Number (millions),1846,1978,1990,pre_saturation,national,regional_csv
Postal Traffic,NZL,New Zealand,Number (millions),1853,1992,1992,pre_saturation,national,regional_csv
Railroad,EGY,Egypt,kilometers,1862,1991,1998,saturating,national,regional_csv
Silver,JPN,Japan,metric tons,1874,1939,1941,saturating,national,regional_csv
Postal Traffic,DNK,Denmark,Number (millions),1861,1991,1993,pre_saturation,national,regional_csv
Telegraph Traffic,IND,India,Number (millions),1866,1983,1998,pre_saturation,national,regional_csv
Telegraph Traffic,FRA,France,Number (millions),1858,1919,1993,pre_saturation,national,regional_csv
Railroad,MUS,Mauritius,kilometers,1862,1918,1930,saturating,national,regional_csv
Railroad,ETH,Ethiopia,kilometers,1862,1917,1988,saturating,national,regional_csv
Gold,JPN,Japan,metric tons,1874,1940,2007,pre_saturation,national,regional_csv
Railroad,GIN,Guinea,kilometers,1862,1984,1993,saturating,national,regional_csv
Railroad,BEN,Benin,kilometers,1862,1936,1940,saturating,national,regional_csv
Railroad,AGO,Angola,kilometers,1862,1971,1974,saturating,national,regional_csv
Railroad,CHL,Chile,kilometers,1860,1927,1942,saturating,national,regional_csv
Crude Oil,JPN,Japan,thousand metric tons,1879,1967,1971,saturating,national,regional_csv
Railroad,DZA,Algeria,kilometers,1862,1930,1936,saturating,national,regional_csv
Beer Production,NOR,Norway,thousand hectolitres,1870,1999,2006,pre_saturation,national,regional_csv
Railroad,THA,Thailand,kilometers,1853,1940,1987,pre_saturation,national,regional_csv
Postal Traffic,NLD,Netherlands,Number (millions),1849,1989,1989,pre_saturation,national,regional_csv
Railroad,NZL,New Zealand,kilometers,1865,1951,1958,saturating,national,regional_csv
Telegraph Traffic,ITA,Italy,Number (millions),1861,1964,1992,pre_saturation,national,regional_csv
Postal Traffic,GRC,Greece,Number (millions),1840,1989,1990,pre_saturation,national,regional_csv
Railroad,VEN,Venezuela,kilometers,1870,1940,1954,saturating,national,regional_csv
Railroad,LKA,Sri Lanka,kilometers,1871,1969,1976,saturating,national,regional_csv
Sulphuric Acid,JPN,Japan,thousand metric tons,1876,1974,1993,saturating,national,regional_csv
Postal Traffic,ITA,Italy,Number (millions),1861,1989,1992,pre_saturation,national,regional_csv
